Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
2021/12/07;0200 UTC;;;;;;;;;;;;;;;;;;NE;RN;CAICO;A316;-6.46749999;-37.08499999;171.26;07/01/07
2021/08/09;1400 UTC;;;;;;;;;;;;;;;;;;N;PA;SALINOPOLIS;A215;-.61888888;-47.35666666;23.18;14/06/08
2021/09/23;1600 UTC;0;988.5;990;988.4;2107.3;35.9;18.7;36.1;33.9;19.2;18.4;41.0;36.0;36.0;344.0;8.4;4.3;N;TO;MARIANOPOLIS DO TO;A041;-9.576389;-49.723333;186.69;24/11/12
2021/08/22;1200 UTC;0;985.4;985.4;985.2;1633.3;22.9;15.4;22.9;18.7;15.5;13.8;76.0;62.0;63.0;84.0;2.6;.7;SE;RJ;CARMO;A629;-21.938745;-42.600936;293;11/10/18
2020/05/13;2100 UTC;;;;;;;;;;;;;;;;;;SE;SP;REGISTRO;A766;-24.53305554;-47.86416666;35;09/02/17
2022/06/26;1700 UTC;;903.6;904.5;903.6;;24.3;8.2;24.3;23.1;9;7.7;39.0;36.0;36.0;99.0;6.3;2.4;SE;MG;ARAXA;A505;-19.60583333;-46.94972221;1018.32;19/12/02
2021/06/12;0900 UTC;;;;;;;;;;;;;;;;;;CO;MT;ITIQUIRA;A933;-17.17499999;-54.50166666;593.12;14/08/08
2021/02/12;2100 UTC;.2;949.8;950;949.7;381.5;22.2;20.6;22.3;21.7;20.8;20.3;93.0;91.0;91.0;190.0;0.0;0.0;CO;GO;ITAPACI;A015;-14.97972221;-49.53999999;551.16;03/02/07
2022/07/29;0300 UTC;;;;;;;;;;;;;;;;;;NE;PI;CAMPO MAIOR;A376;-4.86416666;-42.14555555;125;23/11/18
2022/11/22;0600 UTC;;;;;;;;;;;;;;;;;;N;PA;TOME ACU;A213;-2.59249999;-48.36055555;42.95;14/10/07
